Asprator + Selang;4;pcs;Lab. Kimia;alat;;;;;;;;
Autopen;2;pcs;Lab. Kimia;alat;;;;;;;;
Ayakan No.50;2;pcs;Lab. Kimia;alat;;;;;;;;
Ball Pipet;20;pcs;Lab. Kimia;alat;;;;;;;;
Batang Pengaduk;39;pcs;Lab. Kimia;alat;;;;;;;;
Blue Tip;250;pcs;Lab. Kimia;alat;;;;;;;;
Botol Semprot ( Besar );25;pcs;Lab. Kimia;alat;;;;;;;;
Botol Semprot (Kecil);25;pcs;Lab. Kimia;alat;;;;;;;;
Cawan 100 ML;30;pcs;Lab. Kimia;alat;;;;;;;;
Cawan 250 ML;30;pcs;Lab. Kimia;alat;;;;;;;;
Cawan 75 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Corong Porselin;5;pcs;Lab. Kimia;alat;;;;;;;;
Eppendorf (1,5 ml);1500;pcs;Lab. Kimia;alat;;;;;;;;
Flat Porselin (Tetes);17;pcs;Lab. Kimia;alat;;;;;;;;
Haemometer;11;pcs;Lab. Kimia;alat;;;;;;;;
Hemocytometer;11;pcs;Lab. Kimia;alat;;;;;;;;
Hydrometer;2;pcs;Lab. Kimia;alat;;;;;;;;
Jangka Sorong Digital;3;pcs;Lab. Kimia;alat;;;;;;;;
Jangka Sorong Manual;4;pcs;Lab. Kimia;alat;;;;;;;;
Jarum Hypodermic Needles;1;pcs;Lab. Kimia;alat;;;;;;;;
Jarum Suntik;0;pcs;Lab. Kimia;alat;;;;;;;;
Kaca Pembesar;8;pcs;Lab. Kimia;alat;;;;;;;;
Kain kasa steril;11;pcs;Lab. Kimia;alat;;;;;;;;
Kaki Tiga ;14;pcs;Lab. Kimia;alat;;;;;;;;
Kertas Perkamen;11;pcs;Lab. Kimia;alat;;;;;;;;
Kertas saring;1;pcs;Lab. Kimia;alat;;;;;;;;
Krus Tang;4;pcs;Lab. Kimia;alat;;;;;;;;
Lancet;400;pcs;Lab. Kimia;alat;;;;;;;;
Master Refractometer;1;pcs;Lab. Kimia;alat;;;;;;;;
Micrometer Manual;3;pcs;Lab. Kimia;alat;;;;;;;;
Mikropipet 0.5 - 10 UL;5;pcs;Lab. Kimia;alat;;;;;;;;
Mikropipet 1 - 10 UL;5;pcs;Lab. Kimia;alat;;;;;;;;
Mikropipet 5 - 50 UL;5;pcs;Lab. Kimia;alat;;;;;;;;
Mikropipet 100-1000 UL;15;pcs;Lab. Kimia;alat;;;;;;;;
Mikropipet 10-100 UL;6;pcs;Lab. Kimia;alat;;;;;;;;
Mikropipet 1000 UL;6;pcs;Lab. Kimia;alat;;;;;;;;
Mortir besar;30;pcs;Lab. Kimia;alat;;;;;;;;
Mortir kecil;15;pcs;Lab. Kimia;alat;;;;;;;;
Ose;30;pcs;Lab. Kimia;alat;;;;;;;;
Phantom Ginjal;1;pcs;Lab. Kimia;alat;;;;;;;;
Phantom Sistem Pencernaan;1;pcs;Lab. Kimia;alat;;;;;;;;
Phantom Alat Reproduksi Perempuan;1;pcs;Lab. Kimia;alat;;;;;;;;
Phantom Alat Reproduksi Laki-laki;1;pcs;Lab. Kimia;alat;;;;;;;;
Pencetak SUPPO;6;pcs;Lab. Kimia;alat;;;;;;;;
Penjepit Besi;20;pcs;Lab. Kimia;alat;;;;;;;;
Penjepit Kayu;20;pcs;Lab. Kimia;alat;;;;;;;;
Penyangga LED;4;pcs;Lab. Kimia;alat;;;;;;;;
PH Meter;6;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Tetes;144;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Tetes Panjang;30;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Tetes Pendek;50;pcs;Lab. Kimia;alat;;;;;;;;
Pump Pipet;15;pcs;Lab. Kimia;alat;;;;;;;;
Rak Tabung Besi (Panjang);5;pcs;Lab. Kimia;alat;;;;;;;;
Rak Tabung Besi (Pendek);6;pcs;Lab. Kimia;alat;;;;;;;;
Rak Tabung Kayu;20;pcs;Lab. Kimia;alat;;;;;;;;
Rak Tabung Plastik;19;pcs;Lab. Kimia;alat;;;;;;;;
Spatula Plastik;30;pcs;Lab. Kimia;alat;;;;;;;;
Spatula Porselin;17;pcs;Lab. Kimia;alat;;;;;;;;
Sptula Besi;25;pcs;Lab. Kimia;alat;;;;;;;;
Spuit (Jarum Suntik Sterill);200;pcs;Lab. Kimia;alat;;;;;;;;
Stamper;56;pcs;Lab. Kimia;alat;;;;;;;;
Statif;15;pcs;Lab. Kimia;alat;;;;;;;;
Stopwach;4;pcs;Lab. Kimia;alat;;;;;;;;
Tempat Urine;8;pcs;Lab. Kimia;alat;;;;;;;;
Tensi;1;pcs;Lab. Kimia;alat;;;;;;;;
Thermometer (Digital);7;pcs;Lab. Kimia;alat;;;;;;;;
Thermometer (Manual);5;pcs;Lab. Kimia;alat;;;;;;;;
Tourniquit;13;pcs;Lab. Kimia;alat;;;;;;;;
Tube Salep;9;pcs;Lab. Kimia;alat;;;;;;;;
Urinenometer;1;pcs;Lab. Kimia;alat;;;;;;;;
Vortex Mirex;2;pcs;Lab. Kimia;alat;;;;;;;;
Wadah Urine;50;pcs;Lab. Kimia;alat;;;;;;;;
Yellow Tip;100;pcs;Lab. Kimia;alat;;;;;;;;
1-Naftol;25;gr;Lemari Depo I;padat;;;;;;;;
Acetanilide;500;gr;Lemari Depo I;padat;;;;;;;;
Adeps lanae;3000;gr;Lemari Depo I;padat;;;;;;;;
Aerosil;1500;gr;Lemari Depo I;padat;;;;;;;;
AgNO3;250;gr;Lemari Depo I;padat;;;;;;;;
Aluminium Potasium;500;gr;Lemari Depo I;padat;;;;;;;;
Aluminium Powder;0;gr;Lemari Depo I;padat;;;;;;;;
Ambroxol;2000;gr;Lemari Depo I;padat;;;;;;;;
Amilum Manihot;740;gr;Lemari Depo I;padat;;;;;;;;
Amilum Oryzae;600;gr;Lemari Depo I;padat;;;;;;;;
Aminofilin;1500;gr;Lemari Depo I;padat;;;;;;;;
Amoksilin serbuk;900;gr;Lemari Depo I;padat;;;;;;;;
Amonium asetat;300;gr;Lemari Depo I;padat;;;;;;;;
Amonium klorida;2600;gr;Lemari Depo I;padat;;;;;;;;
Amonium sulfat;600;gr;Lemari Depo I;padat;;;;;;;;
Amprotab;500;gr;Lemari Depo I;padat;;;;;;;;
Antalgin;200;gr;Lemari Depo I;padat;;;;;;;;
Asam askorbat;400;gr;Lemari Depo I;padat;;;;;;;;
Asam benzoat;500;gr;Lemari Depo I;padat;;;;;;;;
Asam borat;1700;gr;Lemari Depo I;padat;;;;;;;;
Asam kromat;0;gr;Lemari Depo I;padat;;;;;;;;
Asam Mefenamat;1400;gr;Lemari Depo I;padat;;;;;;;;
Asam Oksalat;2000;gr;Lemari Depo I;padat;;;;;;;;
Asam pikrat;0;gr;Lemari Depo I;padat;;;;;;;;
Asam salisilat;6450;gr;Lemari Depo I;padat;;;;;;;;
Asam sitrat;5100;gr;Lemari Depo I;padat;;;;;;;;
Asam stearat;2050;gr;Lemari Depo I;padat;;;;;;;;
Asetosal;2100;gr;Lemari Depo I;padat;;;;;;;;
Aspirin;2300;gr;Lemari Depo I;padat;;;;;;;;
Avicel 101;1000;gr;Lemari Depo I;padat;;;;;;;;
Avicel 102;1500;gr;Lemari Depo I;padat;;;;;;;;
Avicel ph 102;500;gr;Lemari Depo I;padat;;;;;;;;
B12;300;gr;Lemari Depo I;padat;;;;;;;;
Barium cloride 2-hydrate;1250;gr;Lemari Depo I;padat;;;;;;;;
Benedict;500;gr;Lemari Depo I;padat;;;;;;;;
C8H8N6O6;0;gr;Lemari Depo I;padat;;;;;;;;
Caffein;1250;gr;Lemari Depo I;padat;;;;;;;;
Calamin;500;gr;Lemari Depo I;padat;;;;;;;;
Calsium Carbonate;1500;gr;Lemari Depo I;padat;;;;;;;;
Calsium cloride dyhidrate;2200;gr;Lemari Depo I;padat;;;;;;;;
Carbokyl Metyl Cellulosa;0;gr;Lemari Depo I;padat;;;;;;;;
Carbopol;4000;gr;Lemari Depo I;padat;;;;;;;;
Cera alba;3500;gr;Lemari Depo I;padat;;;;;;;;
Cera Flava;4600;gr;Lemari Depo I;padat;;;;;;;;
Cetil Alkohol;3500;gr;Lemari Depo I;padat;;;;;;;;
Champora;3500;gr;Lemari Depo I;padat;;;;;;;;
Chloramphenicol;1500;gr;Lemari Depo I;padat;;;;;;;;
CMC Na;2500;gr;Lemari Depo I;padat;;;;;;;;
Copper (II) asetat;0;gr;Lemari Depo I;padat;;;;;;;;
Copper (III) Acetate M.;0;gr;Lemari Depo I;padat;;;;;;;;
CuSO4;1000;gr;Lemari Depo I;padat;;;;;;;;
Dextrosa;0;gr;Lemari Depo I;padat;;;;;;;;
D-Glucose anhydrous;1250;gr;Lemari Depo I;padat;;;;;;;;
Dinatrium EDTA;500;gr;Lemari Depo I;padat;;;;;;;;
di-Potassium hydrogen;0;gr;Lemari Depo I;padat;;;;;;;;
di-Potassium hydrogen phosphat;0;gr;Lemari Depo I;padat;;;;;;;;
FeCl3;2400;gr;Lemari Depo I;padat;;;;;;;;
FeNO3;90;gr;Lemari Depo I;padat;;;;;;;;
Ferrous Sulphate;500;gr;Lemari Depo I;padat;;;;;;;;
FeSO4;0;gr;Lemari Depo I;padat;;;;;;;;
Gelatin;2600;gr;Lemari Depo I;padat;;;;;;;;
Gliserin Guaia;500;gr;Lemari Depo I;padat;;;;;;;;
Glukosa;2300;gr;Lemari Depo I;padat;;;;;;;;
GOM;5500;gr;Lemari Depo I;padat;;;;;;;;
Hancol;0;gr;Lemari Depo I;padat;;;;;;;;
HPMC;2000;gr;Lemari Depo I;padat;;;;;;;;
Hydrocortisone;800;gr;Lemari Depo I;padat;;;;;;;;
Ibuprofen;3500;gr;Lemari Depo I;padat;;;;;;;;
Iodium;700;gr;Lemari Depo I;padat;;;;;;;;
Iron (III) Amonium Sulfate;500;gr;Lemari Depo I;padat;;;;;;;;
